ID,Company,Sàn,Year,ebit,dividendpaid,LR ebit,LR div
SFG,Phân bón Miền Nam,HOSE,2022,57450000000,-9590000000,333234234375.9655,-143293076032.32474
SHP,Thủy điện Miền Nam,HOSE,2022,392900000000,-199900000000,240077074570.12524,-126694929644.6026
SJS,SUDICO,HOSE,2022,9112000000,-735000000,337568776176.61035,-145684851856.11282
SMA,Thiết bị Phụ tùng Sài Gòn,HOSE,2022,43630000000,0,337928560278.64014,-143976892944.16946
SRC,Cao su Sao Vàng,HOSE,2022,49580000000,-16780000000,329714713704.4086,-143682485518.3029
STG,Kho Vận Miền Nam,HOSE,2022,242200000000,-793200000,337540287149.75574,-134151601758.5681
STK,Sợi Thế Kỷ,HOSE,2022,289700000000,-102200000000,287901437520.20984,-131801290375.59955
SVC,SAVICO,HOSE,2022,502600000000,-171200000000,254125787125.57486,-121266947355.93628
SVT,Công nghệ SG Viễn Đông,HOSE,2022,1798000000,0,337928560278.64014,-146046750328.85034
TCM,Dệt may Thành Công,HOSE,2022,362700000000,-372500000,337746220716.72705,-128189232881.77419
TCR,Gốm sứ TAICERA,HOSE,2022,10620000000,0,337928560278.64014,-145610235654.73352
TCT,Cáp treo Tây Ninh,HOSE,2022,14290000000,-6394000000,334798683342.0706,-145428643175.24942
TDC,Becamex TDC,HOSE,2022,268600000000,-133000000000,272824770387.53217,-132845323432.034
TDG,Đầu tư TDG Global,HOSE,2022,34840000000,0,337928560278.64014,-144411824250.61777
TDP,Công ty Thuận Đức,HOSE,2022,235700000000,0,337928560278.64014,-134473223316.23747
TDW,Cấp nước Thủ Đức,HOSE,2022,54960000000,-10270000000,332901372893.8155,-143416281829.03192
THG,XD Tiền Giang,HOSE,2022,184800000000,-24960000000,325710585875.0157,-136991767513.98694
TMP,Thủy điện Thác Mơ,HOSE,2022,668000000000,-7488000000,334263167957.5528,-113082915719.24156
TMS,Transimex,HOSE,2022,346300000000,-17540000000,329342692047.888,-129000708811.89386
TNC,Cao su Thống Nhất,HOSE,2022,9745000000,-38500000000,319082726362.7931,-145653530864.41977
TNH,Bệnh viện Quốc tế Thái Nguyên,HOSE,2022,183100000000,0,337928560278.64014,-137075883921.3774
TNI,Tập đoàn Thành Nam,HOSE,2022,58390000000,0,337928560278.64014,-143246564607.06177
TPC,Nhựa Tân Đại Hưng,HOSE,2022,28950000000,-15720000000,330233586014.819,-144703262862.10587
TRA,Traphaco,HOSE,2022,350600000000,-222200000000,229161175964.32294,-128787943781.43564
TRC,Cao su Tây Ninh,HOSE,2022,66160000000,-55340000000,310839509657.7836,-142862103145.04776
TSC,Kỹ thuật NN Cần Thơ,HOSE,2022,-63450000000,-5238000000,335364547861.72565,-149275237004.97522
TTE,ĐT Năng lượng Trường Thịnh,HOSE,2022,93800000000,0,337928560278.64014,-141494469321.35828
TTF,Gỗ Trường Thành,HOSE,2022,33510000000,0,337928560278.64014,-144477632969.34088
UIC,Phát triển Nhà và Đô thị IDICO,HOSE,2022,47760000000,-24080000000,326141347793.09216,-143772539554.45032
VCF,VinaCafé Biên Hòa,HOSE,2022,450600000000,-427700000,337719200196.4114,-123839919817.29132
VHC,Thủy sản Vĩnh Hoàn,HOSE,2022,2254000000000,-366700000000,158428111007.44247,-34607255647.91258
VIC,VinGroup,HOSE,2022,-10630000000000,-3382000000000,-1317567811238.1052,-672110663188.2673
VMD,Y Dược phẩm Vimedimex,HOSE,2022,32150000000,-15120000000,330527287322.5984,-144544926095.25323
VNE,Xây dựng điện Việt Nam,HOSE,2022,112700000000,0,337928560278.64014,-140559292792.13498
VPG,Đầu tư TMại XNK Việt Phát,HOSE,2022,102900000000,-33160000000,321696668002.0301,-141044199140.62112
VPI,Đầu tư Văn Phú - Invest,HOSE,2022,800500000000,0,337928560278.64014,-106526783966.75034
VRC,Bất động sản và Đầu tư VRC,HOSE,2022,-523800000,0,337928560278.64014,-146161633549.24985
VRE,Vincom Retail,HOSE,2022,3273000000000,0,337928560278.64014,15813108546.718079
VSH,Thủy điện Vĩnh Sơn - Sông Hinh,HOSE,2022,1945000000000,-236200000000,222308145449.46945,-49896649697.118546
VSI,Đầu tư và Xây dựng Cấp thoát nước,HOSE,2022,46760000000,-39260000000,318710704706.27246,-143822019794.09177
  
